,University,Abbreviation,Department,Course_title,Professor,Prerequisite,Scores,Description,University_Homepage,Course_Homepage,Unitcode,Teaching_period,Unit_level,Credit_rating,Available_as_a_free_choice_unit
16,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Plato's Dialogues,Jenny Bryan,,Assessment task Formative or SummativeWeighting within unit (if summative)Analysis of ArgumentFormative Poster PresentationSummative40%ExamSummative60%,"Plato is one of the most important thinkers in the Western tradition. His dialogues address questions of ethics, aesthetics, politics, physics, epistemology, psychology and life after death, to name just a few. This course provides an introduction to Plato’s writings. We will consider both their philosophical content and the manner in which the arguments are presented. Students will at least one of Plato’s dialogues in its entirety and be given the opportunity both to criticize and defend his thought as well as considering his relevance to the modern world.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE20551,CAHE20551,Semester 1,Level 2,20,Yes
17,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Intensive Greek 1,Jenny Bryan,"None. However, this course may not be taken for credit by candidates who have already achieved a qualification in Greek which is higher than GCSE. Students on programmes administered by Classics and Ancient History are expected to register in addition for CAHE30162 Intensive Greek 2.",Assessment task Formative or SummativeWeighting within unit (if summative)Regular homeworksFormative TestSummative40%ExamSummative60%,"This is the first half of a two-module intensive programme that will take you beyond A-Level standard by the end of the year. It is designed to be fast-moving but rewarding, and is based on the second edition of the excellent ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE20151,CAHE20151,Semester 1,Level 2,20,Yes
18,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Advanced Latin Language 2,Andrew Morrison,				,Mid-year exam30%End-of-year exam70% ,This course-unit takes you on from CAHE 30110 Advanced Latin 1 to the next level. It involves (a) the accurate translation and linguistic comprehension of two set texts (one in verse and one in prose); (b) practice in unprepared translation from Latin into English and from English into Latin. ,https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30210,CAHE30210,Full year,Level 3,20,Yes
19,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Roman Women in 22 Objects,Roberta Mazza,,Essay 140%Essay 260%Weekly Seminar Readings0% ,"This course explores the material culture of Roman women. This includes any kind of object, artefact or archaeological evidence related to women, used by women or even produced by them. Twenty-two key objects, one for each lecture and dating from the early Principate to Late Antiquity, will be used as tools to introduce wider topics (e.g. the archaeology of birth and childcare; marriage and relationships in material culture), archaeological corpora (e.g. portraits, terracotta votive offerings, textiles), and specific archaeological contexts (e.g. female burials, female public and domestic spaces) in order to investigate women’s lives and roles in Roman society. Through close analysis of evidence in lectures and seminars, students will learn different approaches and methodologies to critically engage with Roman material culture. ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE20532,CAHE20532,Semester 2,Level 2,20,Yes
20,The University of Manchester,UOM,"Classics, Ancient History & Egyptology","Chariots, Cauldrons and Celts: The Archaeology of the Iron Age in Britain and Ireland",Melanie Giles,,Assessment task Formative or SummativeWeighting within unit (if summative)EssayEssay PlanFinal Essay  FormativeSummative  60%Artefact Report (based on Portable Antiquities Scheme model)Plan and SketchCombined Report  FormativeSummative   40%,"The Iron Age of Britain and Ireland is famed for its fabulous objects adorned with Celtic art: swords, shields and cauldrons, torcs and horse-gear, as well as technological marvels such as the chariot. It has also given rise to some of the first ‘named’ individuals we know from later prehistory as it entered the world of Rome: Commius, Boudicca and Cartimandua. In this module we will explore the reality behind these myths, during this fascinating millennium (c. 800 BC-100 AD): the invention of smithing iron, the creation of the hillforts which still dominate our skylines, the fabulous hoards of weaponry and horse-gear buried in pits and rivers, and the burials through which we can explore the lives and deaths of some exceptional figures from the past. We will examine conflict and violence, feasting and craftwork, agricultural labour and the sacrifice of both people and things. We will also critically explore the concept of the Celts, and examine the stories that are told about them by ancient and modern authors, with a particular focus on museum exhibitions and the role that artefacts play in the past and the present. ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE25461,CAHE25461,Semester 1,Level 2,20,Yes
21,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Education and Schools in the Greek and Roman Worlds,Christian Laes,"No formal pre-requisites or co-requisites, but students who did not take Greek or Roman History course units in their first or second year will need to have acquired a basic knowledge of the main narrative of Hellenistic and Roman history (6th cent. BCE to 3rd century CE) in order to follow the course. The use of F. Naerebout, H. Singor, Antiquity. ",Assessment task Formative or SummativeWeighting within unit (if summative)Formative coursework essayFormative Summative coursework essaySummative30%Exam (3 hours)Summative70%,"Education and schools are vital to the understanding of ancient society. In this course, education is explicitly understood in a broader sense than attending school. This means that we will also deal with topics such as socialisation and the way the broader environment impacted on lives and behaviour of children and youths in Antiquity. The course starts with a chronological survey, from the Homeric poems up to Christian schools in Late Antiquity and the early Middle Ages. After this, the approach will be thematical. Both educators and learners will be get due attention, and various themes will be tackled. The course explicitly shies away from an approach that focuses exclusively on the cities of Athens and Rome. Due attention will be paid to broader themes such as, for instance, violence, bullying, play, the importance of the peer group, the role of religion, and literacy. Judaism and Christianity will be part of the story.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE25212,CAHE25212,Semester 2,Level 2,20,Yes
22,The University of Manchester,UOM,Art History and Cultural Practices,Ice Age to Baroque: Artworks in History,"
",,Critical Literature Review40%Essay plan with indicative bibliography0%Essay60% ,"The course unit uses in-depth analyses of individual artworks to introduce students to key methods and concepts of art historical understanding. Each lecture is focused on the detailed exposition of one artwork and the critical debates surrounding its interpretation. The lectures as a whole are arranged chronologically from the Ice Age to the Baroque, covering art produced around the globe. The course unit is neither the study of a canon nor a traditional survey of art history, although it will reflect upon both. It examines some well-known artworks of the past alongside others that have been considered marginal or have been neglected. Two things are key: that the artworks in focus are used to introduce and explain foundational art historical concepts, and that the lectures centre on the problems of understanding and interpreting artworks in relation to their historical moment. An important aim of the course unit is to provide students with a broad chronological and methodological armature for their study of art history in other course units. Accordingly, the lectures and seminars will explore skills of visual analysis, engage with critical issues of historical interpretation (style, period, school, movement, development etc.), and help students develop a theoretical toolkit for approaching the study of art history..",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/SALC10041,SALC10041,Semester 1,Level 1,20,Yes
23,The University of Manchester,UOM,"Classics, Ancient History & Egyptology","Classics, Ancient History, Archaeology and Egyptology Dissertation",Emma Griffiths,,"Dissertation Proposal 0%Dissertation outline, plan and draft bibliography0%Written sample0%Final Dissertation100% ","This module is designed to enable students to write a sustained piece of independent research, in the form of the Dissertation, addressing key questions/problems in Archaeology, Classics or Ancient History. Through a series of workshops and case studies, supported by individual tutorials with the Dissertation supervisor, students will be given guidance on appropriate topics, and assistance in framing their research proposal. Workshops will focus on the relationship between concepts, theory and practice, and the ability to synthesise, analyse and critique archaeological information. Advice on time management and accessing resources will also be provided. Supported by supervisions, students will develop confidence in conducting original research, expressing informed opinion and reflecting on the research process. The course will also enhance writing and presentation skills to appropriate academic standards.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30000,CAHE30000,Full year,Level 3,40,No
24,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Roman Love Elegy,Maria-Ruth Morello,Pre-requisite: ,Assessment task Formative or SummativeWeighting within unit (if summative)EssayBoth25%CommentariesBoth25%ExamSummative50%,"Roman love elegy flourished within a relatively short period of time, beginning with the four books of Cornelius Gallus (probably known as ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30271,CAHE30271,Semester 1,Level 3,20,Yes
25,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",The World of Late Antiquity: Europe and the Med from the Severan Dynasty to the Rise of Islam,Peter Pormann,,Essay50%Exam50% ,"This course unit surveys the last centuries of the Roman Empire as a united political entity ranging from Britain to the Euphrates. We will consider the political, social, cultural, intellectual and religious factors contributing to the Empire’s fragmentation, focusing on the period from the reign of Septimius Severus (AD 193-211) to Heraclius (AD 611-641).",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30021,CAHE30021,Semester 1,Level 3,20,Yes
26,The University of Manchester,UOM,"Classics, Ancient History & Egyptology","Seneca: Philosopher, Politician and Playwright","
",Pre: Non-linguists: none; Linguists: (at least) A-Level Latin or Intensive Latin 2.,Assessment task Formative or SummativeWeighting within unit (if summative)CommentaryFormative Commentary (on text in translation for non-linguists and Latin text for linguists)Summative50%EssaySummative50%,"Lucius Annaeus Seneca lived through turbulent times in First Century CE Rome, and responded to the world around him with an astonishing range of intellectual activity, from oratory and epistolography to philosophical essays and tragedies exploring the violent extremes of human emotion. The impact of his work was felt in the next generation of Roman writers, including the epic poet, Lucan, and continued into the 21",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE25012,CAHE25012,Semester 2,Level 2,20,Yes
27,The University of Manchester,UOM,Archaeology,"The Emergence of Civilisation: Palaces, Peak Sanctuaries, and Politics in Minoan Crete",Ina Berg,, Assessment task Formative or SummativeWeighting within unit (if summative)Reading Log entry Week 1 and Week 5formative Examsummative50%Reading logsummative50%,"Minotaurs, labyrinth, palaces, matriarchy, Mother Goddess, peace-loving, naval empire, cannibalism – many concepts and ideas have been associated with the colourful Minoan civilization that existed on Crete during the Bronze Age (ca. 3000-1400 BC). However, many of these are based on a misunderstanding or misreading of the evidence. To overcome the legacy of Victorian scholarship, theoretical frameworks are brought to bear upon the available archaeological and scientific evidence in an attempt to problematise key themes around the emergence, endurance and demise of Minoan society. Among the topics to be investigated are major social changes, such as the transition from hunter-gatherer to agriculturalist/pastoralist, the emergence of urban centres, the social context of the appearance of palaces, burial practices and the treatment of the dead, religion as a tool of community cohesion as well as of palatial control, interaction with neighbouring regions and the question of political control as well as the eventual demise of the Minoan civilization and the debate around a invasion by the Mycenaeans.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30222,CAHE30222,Semester 2,Level 3,20,Yes
28,The University of Manchester,UOM,"Classics, Ancient History & Egyptology","Gods, Kings and Heroes: The Poetry of Archaic Greece",Andrew Morrison,(Linguist version only): ,Assessment task Weighting within unitFormative written assessment 0%Assessed coursework 1 (gobbets)35%Assessed coursework 2 (essay)65%,"This course complements CAHE21041/2 Greek Epic Poetry by exploring further the Greek poetry of the Archaic and early Classical periods. It concentrates on some of the most important poets who came after Homer (including Hesiod, Sappho and Pindar), to whose poetry they in many ways ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE24102,CAHE24102,Semester 2,Level 2,20,Yes
29,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Athens and Attica,Peter Liddel,"No formal pre- or co-requisites, but students who have not taken Greek or Roman History course-units in their first or second year will find an outline knowledge of the basic narrative of ancient Greek History useful.",Assessment task Weighting within unit (if summative)Poster20%Essay30%Exam50%,"The city of Athens was the political, cultural and economic hub of the ancient Aegean, and its history and legacy have fascinated scholars and tourists alike for centuries. This course on the city and its territory takes in a range of approaches, themes and periods. It looks at the ancient city from different angles, for instance, as a lived-in space, as a political space, as a site of religion and festivals.  It also explores the relationship between the city and its countryside (the territory of Attica), and between the city and its neighbours.  The course focuses on the Classical period, but we will also consider the histories (and stories) of the origins and early growth of Athens; in addition, we will look at the later reception and uses of the city, from its ‘discovery’ by 18th century travellers to its transformation into the capital of the modern nation state of Greece.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30631,CAHE30631,Semester 1,Level 3,20,Yes
30,The University of Manchester,UOM,History,The Normans between Islam and Byzantium: multicultural encounters in the Mediterranean World,Paul Oldfield,Aims,Assessment task Formative or SummativeWeighting within unit (if summative)Source Analysis plan/group-taskFormativen/aSource AnalysisSummative40%Research Essay Summative60%,"This module offers an in-depth analysis of medieval multiculturalism by exploring the movement of Norman migrants, travellers and conquerors across multicultural frontiers within the medieval Mediterranean. Better known for ruling Normandy and England after 1066, the Normans also spread into Iberia, southern Italy and Sicily, North Africa and the Near East, and in doing so encountered the world of Islam and Byzantium. The Norman migrants established powerful states throughout the Mediterranean, especially the Crusading Principality of Antioch and the Kingdom of Sicily. The latter developed into a unique multicultural state inhabited by Muslims, Greeks and Latins, and governed by Norman Kings who dressed in Byzantine robes, resided in stunning Arab-Islamic palaces, promoted alleged crypto-Muslim eunuchs to positions of power, and commissioned magnificent multicultural monuments. This course then analyses the dynamics and impact of Norman movement within the Mediterranean world, and the range of multicultural encounters that occurred as a result.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/HIST31991,HIST31991,Semester 1,Level 3,20,No
31,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",The Roman Army and the North-West Frontiers,Andrew Fear,,,This course examines the structure and development of the Roman Army from c.31BC to c.AD 235. It also looks at Rome’s expansion to the North and West during this period and examines the nature and management of the frontiers so produced.,https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30882,CAHE30882,Semester 2,Level 3,20,Yes
32,The University of Manchester,UOM,History,Becoming Christian in The Early Middle Ages,Ingrid Rembold,Aims,Source analysis 40%Essay 60% ,"The early middle ages were an age of conversion. Starting with the famous 312 vision of the Roman Emperor Constantine, the period is full of stories of people suddenly – and often miraculously –becoming Christian. Yet Christian conversion meant different things to different people, in different areas and at different times. This course examines the historical contingencies of conversion. It investigates the ways in which people were persuaded or forced to convert, and how those recruits understood their conversion. This will in turn lead to consideration of the many ways that people could be Christian in the early middle ages. ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/HIST31952,HIST31952,Semester 2,Level 3,20,No
33,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Greek Tragedy,"
",Pre-requisites: Non-linguists - none; Linguists - Intensive Greek 2 or higher.,Assessment task Formative or SummativeWeighting within unit (if summative)Commentary (1)Formative Commentary (2)Summative50%ExamSummative50%,"The dramas of 5th Century Athens can be deceptively familiar, known to us as the basis of western theatre and often studied as A-Level texts. This module will show that tragedy is a far more problematic and complicated genre than we might realize. It challenges us to consider what it is to be human, and how we understand the nature of reality. Passages of great lyric beauty and philosophical reflection are combined with an unflinching portrayal of the darkest aspects of life and death. The dramas can appear both as strikingly modern and yet terrifyingly alien. ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE31011,CAHE31011,Semester 1,Level 3,20,Yes
34,The University of Manchester,UOM,History,Christ's Knights: Hospitallers and Templars in the Latin East and Beyond,Stephen Mossman,History and joint programmes with History,"Assessment task Formative or SummativeWeighting within unit (if summative)Source Analysis in pairs, with peer-reviewFormativen/aSource Analysis, individualSummative40%Source-based Essay, individualSummative60%","The idea that monks – men who fought the metaphorical battle against the Devil’s temptations through prayer and contemplation – should take up the sword and fight in literal battle against the supposed enemies of the faith was a shocking innovation of the twelfth century. The study of the military religious orders, the fighting monks, is the study of a set of paradoxes: care for the sick and slaughter of the infidel; centres of action on the periphery of Europe; Christian lordship of Islamic populations – not to mention the central paradox of the ‘fighting monk’ himself. We will interrogate these oppositions to grasp what the military religious orders can tell the historian about the nature of medieval society. How could these apparent contradictions be negotiated and reconciled? What did the Hospitallers and the Templars think they were? What did others think they were? Why were so many women drawn to enter what are, at first sight, thoroughly masculine enterprises? Why were the Templars brutally suppressed, but the Hospitallers still survive?",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/HIST31621,HIST31621,Semester 1,Level 3,20,No
35,The University of Manchester,UOM,History,"Culture in Ottoman Society, ca. 1300-1800",Ethan Menchinger,This module is only available to students on History-owned programmes; Euro Studies programmes; History joint honours programmes owned by other subject areas.; and CLAH-owned programmes. Available to students on an Erasmus programme subject to VSO approval.,Presentation0%Primary source analysis40%Essay60% ,"This course explores the human landscape of the Ottoman Empire, a rich, vibrant, cosmopolitan society too often overshadowed by its military reputation. It aims to situate the Ottomans in the Islamic and wider early modern world, on one hand, while paying attention to the empire’s distinct social, geographical, and political configurations on the other. The course is organized by theme. We will focus each week on a major aspect of Turco-Islamic popular or elite culture – e.g. poetry, scholastic pursuits, gender, religious movements, or family. Students will approach these in part through close engagement with translated primary texts as well as miniatures, coins, textiles, and other visual and material objects. They will examine what kinds of ideas and issues “moved” Ottoman society as it evolved from a frontier outpost to a transcontinental empire, how cultural practices changed, and how its inhabitants sought to create meaning and beauty in the world around them.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/HIST31871,HIST31871,Semester 2,Level 3,20,No
